"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Non-standard Age Adjusted Rate	Non-standard Age Adjusted Rate Lower 95% Confidence Interval	Non-standard Age Adjusted Rate Upper 95% Confidence Interval	Non-standard Age Adjusted Rate Standard Error
	"Alabama"	"01"	"Intentional self-harm by handgun discharge"	"X72"	48	27417949	0.2	0.2	0.1	0.2	0.0
	"Alabama"	"01"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	55	27417949	0.2	0.2	0.1	0.3	0.0
	"Alabama"	"01"	"Assault by handgun discharge"	"X93"	120	27417949	0.4	0.4	0.4	0.5	0.0
	"Alabama"	"01"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	54	27417949	0.2	0.2	0.1	0.3	0.0
	"Alaska"	"02"	"Intentional self-harm by handgun discharge"	"X72"	42	4517339	0.9	1.0	0.7	1.3	0.2
	"Alaska"	"02"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	64	4517339	1.4	1.5	1.2	1.9	0.2
	"Arizona"	"04"	"Intentional self-harm by handgun discharge"	"X72"	86	38225041	0.2	0.2	0.2	0.3	0.0
	"Arizona"	"04"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	81	38225041	0.2	0.2	0.2	0.3	0.0
	"Arizona"	"04"	"Assault by handgun discharge"	"X93"	17	38225041	Unreliable	Unreliable	0.0	0.1	0.0
	"Arizona"	"04"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	44	38225041	0.1	0.1	0.1	0.2	0.0
	"Arizona"	"04"	"Legal intervention involving firearm discharge"	"Y35.0"	15	38225041	Unreliable	Unreliable	0.0	0.1	0.0
	"Arkansas"	"05"	"Intentional self-harm by handgun discharge"	"X72"	21	17095767	0.1	0.1	0.1	0.2	0.0
	"Arkansas"	"05"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	43	17095767	0.3	0.3	0.2	0.3	0.0
	"Arkansas"	"05"	"Assault by handgun discharge"	"X93"	17	17095767	Unreliable	Unreliable	0.1	0.1	0.0
	"Arkansas"	"05"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	30	17095767	0.2	0.2	0.1	0.2	0.0
	"California"	"06"	"Intentional self-harm by handgun discharge"	"X72"	493	225896052	0.2	0.2	0.2	0.2	0.0
	"California"	"06"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	283	225896052	0.1	0.1	0.1	0.1	0.0
	"California"	"06"	"Assault by handgun discharge"	"X93"	1053	225896052	0.5	0.5	0.4	0.5	0.0
	"California"	"06"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	260	225896052	0.1	0.1	0.1	0.1	0.0
	"California"	"06"	"Handgun discharge, undetermined intent"	"Y22"	22	225896052	0.0	0.0	0.0	0.0	0.0
	"California"	"06"	"Legal intervention involving firearm discharge"	"Y35.0"	111	225896052	0.0	0.0	0.0	0.1	0.0
	"Colorado"	"08"	"Intentional self-harm by handgun discharge"	"X72"	117	29428984	0.4	0.4	0.3	0.5	0.0
	"Colorado"	"08"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	109	29428984	0.4	0.4	0.3	0.4	0.0
	"Colorado"	"08"	"Assault by handgun discharge"	"X93"	45	29428984	0.2	0.2	0.1	0.2	0.0
	"Colorado"	"08"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	43	29428984	0.1	0.1	0.1	0.2	0.0
	"Colorado"	"08"	"Legal intervention involving firearm discharge"	"Y35.0"	17	29428984	Unreliable	Unreliable	0.0	0.1	0.0
	"Connecticut"	"09"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	10	19820318	Unreliable	Unreliable	0.0	0.1	0.0
	"Delaware"	"10"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	15	5013258	Unreliable	Unreliable	0.2	0.5	0.1
	"Florida"	"12"	"Intentional self-harm by handgun discharge"	"X72"	224	97937018	0.2	0.2	0.2	0.2	0.0
	"Florida"	"12"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	134	97937018	0.1	0.1	0.1	0.2	0.0
	"Florida"	"12"	"Assault by handgun discharge"	"X93"	224	97937018	0.2	0.2	0.2	0.3	0.0
	"Florida"	"12"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	81	97937018	0.1	0.1	0.1	0.1	0.0
	"Florida"	"12"	"Legal intervention involving firearm discharge"	"Y35.0"	29	97937018	0.0	0.0	0.0	0.0	0.0
	"Georgia"	"13"	"Intentional self-harm by handgun discharge"	"X72"	118	59034927	0.2	0.2	0.2	0.3	0.0
	"Georgia"	"13"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	85	59034927	0.1	0.2	0.1	0.2	0.0
	"Georgia"	"13"	"Assault by handgun discharge"	"X93"	72	59034927	0.1	0.1	0.1	0.2	0.0
	"Georgia"	"13"	"Assault by rifle, shotgun and larger firearm discharge"	"X94"	63	59034927	0.1	0.1	0.1	0.1	0.0
